,concepts,description,related
2009,Sphaeronectes haddocki,Sphaeronectes is a genus of cnidarians belonging to the family Sphaeronectidae.The genus has almost cosmopolitan distribution.Species:,Sphaeronectes
2010,Sphaeronectes tiburonae,Sphaeronectes is a genus of cnidarians belonging to the family Sphaeronectidae.The genus has almost cosmopolitan distribution.Species:,Sphaeronectes
2011,Spilocuma,Bodotriidae is a family of crustaceans belonging to the order Cumacea. Bodotriids have a worldwide distribution in shallow and deep waters.,"Bodotriidae, List of Cumacea literature"
2012,Spondylus,"Spondylus is a genus of bivalve molluscs, the only genus in the family Spondylidae. They are known in English as spiny oysters or thorny oysters (though they are not, in fact, true oysters).","Dynowarz: Destruction of Spondylus, Chaetostoma spondylus, Chimor, Spondylus linguafelis"
2013,Spongiactis,Spongiactinidae is a family of sea anemones.,Spongiactinidae
2014,Spongicola,"Caridina spongicola is a small species of freshwater shrimp from Sulawesi (Indonesia) that reaches 0.64 to 1.27 cm (0.25 to 0.5 in) in length. In the wild it strictly lives on an undescribed species of freshwater sponge, making it one of only two known commensal species of freshwater shrimp (the other is a Limnocaridina shrimp that lives in mussels in Lake Tanganyika, East Africa).","Caridina spongicola, Haplosyllis spongicola, Amphritea spongicola, Roseivirga spongicola, Niveria spongicola"
2015,Spongosorites,"Pseudospongosorites is a genus of sea sponges belonging to the family Suberitidae. Currently, the genus is considered as monotypic, consisting of a single species Pseudospongosorites suberitoides.","Pseudospongosorites, Halichondriidae, List of sponges of Ireland, List of sponges of South Africa"
2016,Spongosorites (right),Spongosorites (right), 
2017,Spongosorites siliquaria,"Pseudospongosorites is a genus of sea sponges belonging to the family Suberitidae. Currently, the genus is considered as monotypic, consisting of a single species Pseudospongosorites suberitoides.","Pseudospongosorites, Halichondriidae, List of sponges of Ireland, List of sponges of South Africa"
2018,Squalogadus modificatus,"Squalogadus modificatus, the tadpole whiptail, also known as the roundhead tadpole grenadier,  is a species of rattail found in the Atlantic and Pacific Oceans where it occurs at depths of from 600 to 1,740 metres (1,970 to 5,710 ft). This species grows to a length of 35 centimetres (14 in) TL. It is the only known member of its genus.","Squalogadus, List of least concern fishes"
2019,Squalus hawaiiensis,"Squalus hawaiiensis, the Hawaiian spurdog, is a dogfish, a member of the family Squalidae, found in waters surrounding the Hawaiian Islands, from the surface to 950 m.  Its length is up to 75 cm.",Spurdog
2020,Squalus suckleyi,The Pacific spiny dogfish (Squalus suckleyi) is a common species of the Squalidae (dogfish) family of sharks and are among the most abundant species of sharks in the world. This species is closely related to Squalus acanthias and for many years they were treated as a single species.,"Pacific spiny dogfish, Spiny dogfish, Spurdog, Squalidae, School shark"
2021,Staurocalyptus,Staurocalyptus is a genus of sponge. It was circumscribed in 1897 by Isao Ijima.,"Staurocalyptus affinis, Hexactinellid, Sponge reef, Isao Ijima"
2022,Staurocalyptus solidus,Staurocalyptus is a genus of sponge. It was circumscribed in 1897 by Isao Ijima.,Staurocalyptus
2023,Stauropathes,Schizopathidae is a family of corals belonging to the order Antipatharia.,"Schizopathidae, Black coral"
2024,Stauropathes sp.,"Antipatharians, also known as black corals or thorn corals, are an order of soft deep-water corals. These corals can be recognized by their jet-black or dark brown chitin skeletons, surrounded by the polyps (part of coral that is alive).",Black coral
2025,Stauropathes staurocrada,Schizopathidae is a family of corals belonging to the order Antipatharia.,"Schizopathidae, Black coral"
2026,Stegastes rectifraenum,"Stegastes rectifraenum, commonly known as the Cortez damselfish or Cortez gregory, is a damselfish of the family Pomacentridae. It is native to the tropical eastern Pacific Ocean, its range including Baja California in Mexico, and the Gulf of California.","Stegastes, Damselfish, List of least concern perciform fishes"
2027,Stegophiura ponderosa,"Brittle stars, serpent stars, or ophiuroids (from Latin  ophiurus 'brittle star'; from Ancient Greek  ὄφις (óphis) 'serpent', and  οὐρά (ourá) 'tail'; referring to the serpent-like arms of the brittle star) are echinoderms in the class Ophiuroidea, closely related to starfish. They crawl across the sea floor using their flexible arms for locomotion.","Brittle star, Paleobiota of the Posidonia Shale, 2021 in paleontology, 2018 in echinoderm paleontology"
2028,Stellamedusa ventana,"Stellamedusa is a genus of jellyfish. The genus is monotypic with a single species recognized, Stellamedusa ventana.The species was first described in the Journal of the Marine Biological Association in 2004 by Kevin Raskoff and George Matsumoto of the Monterey Bay Aquarium Research Institute.","Stellamedusa, Medusa, Monterey Bay Aquarium Research Institute, Tiburonia, Remotely operated underwater vehicle"
2029,Stelodoryx,Myxillidae is a family of marine demosponges.,Myxillidae
2030,Stenobrachius leucopsarus,"The northern lampfish (Stenobrachius leucopsarus), also known as smallfin lanternfish, is a small oceanic fish in the family Myctophidae. First described by husband and wife ichthyologists Carl H. and Rosa Smith Eigenmann in 1890, it is named for the numerous small round photophores that line the ventral surface of its head and body.","Northern lampfish, Stenobrachius, Hydrichthys sarcotretis, Cardiodectes bellottii, List of fishes of the Salish Sea"
2031,Stenosemus,Stenosemus is a genus of polyplacophoran molluscs in the family Ischnochitonidae.,"Parnassius stenosemus, Chiton, Ischnochitonidae, List of butterflies of India (Papilionidae)"
2032,Stephanocyathus,"The Caryophylliidae are a family of stony corals found from the tropics to temperate seas, and from shallow to very deep water.","Caryophylliidae, Scleractinia, Euphyllia, Coastal Road (Mumbai), IUCN Red List data deficient species (Cnidaria)"
2033,Stereochlamis,Cribrospongiidae is a family of glass sponges in the order Sceptrulophora.,Cribrospongiidae
2034,Stereocidaris,Stereocidaris is a genus of echinoderms belonging to the family Cidaridae.The genus has almost cosmopolitan distribution.Species:,"Riachuelo Formation, Paleobiota of the Kristianstad Basin, Cidaridae, List of prehistoric echinoid genera"
2035,Stereocidaris granularis,Stereocidaris is a genus of echinoderms belonging to the family Cidaridae.The genus has almost cosmopolitan distribution.Species:,Stereocidaris
2036,Stereocidaris hawaiiensis,Stereocidaris is a genus of echinoderms belonging to the family Cidaridae.The genus has almost cosmopolitan distribution.Species:,Stereocidaris
2037,Sternoptyx,"Sternoptyx is an oceanic  ray-finned fish genus which belongs in the family Sternoptychidae. This is the type genus of the Sternoptychidae, as well as the marine hatchetfish subfamily Sternoptychinae.","Marine hatchetfish, Sternoptychidae, Sternoptyx diaphana, D'Arcy Wentworth Thompson"
2038,Sternoptyx diaphana,"Sternoptyx diaphana, the diaphanous hatchetfish, is a species of deep sea ray-finned fish in the family Sternoptychidae. It is the type species of the genus Sternoptyx, and was first described by the French naturalist Johann Hermann in Der Naturforscher 1781.","Sternoptyx, D'Arcy Wentworth Thompson, On Growth and Form, Fish fin"
2039,Stichopathes,"Allopathes is a genus of corals in the family Antipathidae. It is characterized by several long stems protruding from a short, thick base with spines arranged vertically around the stem.","Allopathes, Antipathidae, Black coral"
2040,Stichopathes sp.,"Antipathidae is a family of corals in the order Antipatharia, commonly known as black corals. They are generally considered a deep-water taxon; however, some of the most diverse communities are known from tropical shallow waters.","Antipathidae, Black coral"
2041,Stichopathes spiessi,"Antipathidae is a family of corals in the order Antipatharia, commonly known as black corals. They are generally considered a deep-water taxon; however, some of the most diverse communities are known from tropical shallow waters.","Antipathidae, Black coral, Allopathes"
2042,Stichopodidae,"The Stichopodidae are a family of sea cucumbers, part of the order Synallactida.","Stichopus naso, Sea cucumber, Apostichopus japonicus, List of common commercial fish of Sri Lanka"
2043,Stichopus n.,"Sea cucumbers are echinoderms from the class Holothuroidea (). They are marine animals with a leathery skin and an elongated body containing a single, branched gonad.","Sea cucumber, Johann Friedrich von Brandt, Australostichopus, Largest and heaviest animals, Echinoderm"
2044,Stigmatoteuthis dofleini,Stigmatoteuthis is a genus of squid from the family Histioteuthidae. They occur in the Oceans from the tropics south to the temperate seas.,"Stigmatoteuthis, Histioteuthidae, Stigmatoteuthis hoylei, Histioteuthis heteropsis, Histioteuthis meleagroteuthis"
2045,Stolonifera,"Stolonifera is a suborder of soft corals in the order Alcyonacea. Members of this taxon are characterised by having separate polyps budding off an encrusting horizontal, branching stolon.","Agrostis stolonifera, Phlox stolonifera, Saxifraga stolonifera, Ixeris stolonifera"
2046,Stomphia,"Stomphia coccinea is a small reddish, orange or brownish coloured species of sea anemone in the family Actinostolidae from the North Atlantic, North Pacific and Arctic Ocean. It can swim away when necessary in order to escape a predator.","Stomphia coccinea, Sea anemone, Actinostolidae, List of cnidarians of Ireland"
2047,Stomphia didemon,"Stomphia coccinea is a small reddish, orange or brownish coloured species of sea anemone in the family Actinostolidae from the North Atlantic, North Pacific and Arctic Ocean. It can swim away when necessary in order to escape a predator.","Stomphia coccinea, Sea anemone, Actinostolidae, List of cnidarians of Ireland"
2048,Storthyngurinae,"The family Munnopsidae is a family of asellote isopoda which is one of the most speciose and frequently collected of the known isopod families. As currently structured it consists of nine subfamilies, 42 genera and about 320 species.",Munnopsidae
2049,Streetsia,"The Hyperiidea are a suborder of amphipods, small aquatic crustaceans.  Unlike the other suborders of Amphipoda, hyperiids are exclusively marine and do not occur in fresh water.",Hyperiidea
2050,Striatobalanus amaryllis,"The Balanidae comprise a family of barnacles of the order Balanomorpha. As a result of research published in 2021 by Chan et al., the members of the family Archaeobalanidae were merged with this family.","Balanidae, List of Cirripedia genera"
2051,Strongylocentrotus,"Strongylocentrotus purpuratus, the purple sea urchin, lives along the eastern edge of the Pacific Ocean extending from Ensenada, Mexico, to British Columbia, Canada. This sea urchin species is deep purple in color, and lives in lower inter-tidal and nearshore sub-tidal communities.","Strongylocentrotus purpuratus, Strongylocentrotus, Strongylocentrotus droebachiensis, Sea urchin, Paracentrotus lividus"
2052,Strongylocentrotus fragilis,Strongylocentrotus fragilis is a species of sea urchin of the family Strongylocentrotidae.,"Strongylocentrotidae, Bald sea urchin disease, Sea urchins of the Gulf of California, List of invertebrates of California"
2053,Styelidae,Styelidae is a family of ascidian tunicates.,"Polycarpa aurata, Botryllus, Dicarpa, Styela plicata"
2054,Stygiomedusa gigantea,"Stygiomedusa gigantea, commonly known as the giant phantom jelly, is the only species in the monotypic genus of deep sea jellyfish, Stygiomedusa. It is in the Ulmaridae family.","Stygiomedusa, Medusa, Jellyfish, Thalassobathia pelagica, List of invertebrates of California"
